name_1,date_1,name_2,date_2,name_3,date_3,alternatives,context,correct_date,correct_temperature,correct_temperature_label,correct_answer
William,2019-04-24,Charlie,2019-10-31,Richard,2019-08-02,"['William', 'Charlie', 'Richard']",William took a walk in the park on the 24th of April. Charlie took a walk in the park on the 31st of October. Richard took a walk in the park on the 2nd of August. The only person that took a walk in the park in a cold month is,2019-04-24,cold,0,William
Tyler,2019-02-28,Leon,2019-08-30,Robert,2019-06-20,"['Tyler', 'Leon', 'Robert']",Tyler took a bus on the 28th of February. Leon took a bus on the 30th of August. Robert took a bus on the 20th of June. The only person that took a bus in a cold month is,2019-02-28,cold,0,Tyler
John,2019-11-29,Tyler,2019-05-05,Leon,2019-03-11,"['John', 'Tyler', 'Leon']",John cleaned the windows on the 29th of November. Tyler cleaned the windows on the 5th of May. Leon cleaned the windows on the 11th of March. The only person that cleaned the windows in a warm month is,2019-05-05,warm,1,Tyler
Peter,2019-02-23,Hope,2019-04-16,Blake,2019-08-08,"['Peter', 'Hope', 'Blake']",Peter went to a French restaurant on the 23rd of February. Hope went to a French restaurant on the 16th of April. Blake went to a French restaurant on the 8th of August. The only person that went to a French restaurant in a warm month is,2019-08-08,warm,1,Blake
Martin,2019-03-21,Charlie,2019-12-02,Dallas,2019-09-24,"['Martin', 'Charlie', 'Dallas']",Martin attended a funeral on the 21st of March. Charlie attended a funeral on the 2nd of December. Dallas attended a funeral on the 24th of September. The only person that attended a funeral in a warm month is,2019-09-24,warm,1,Dallas
Scott,2019-07-20,Charlie,2019-08-15,Neil,2019-02-05,"['Scott', 'Charlie', 'Neil']",Scott arrived in Spain on the 20th of July. Charlie arrived in Spain on the 15th of August. Neil arrived in Spain on the 5th of February. The only person that arrived in Spain in a cold month is,2019-02-05,cold,0,Neil
Dallas,2019-07-13,Steve,2019-12-30,Martin,2019-08-12,"['Dallas', 'Steve', 'Martin']",Dallas painted a mural on the 13th of July. Steve painted a mural on the 30th of December. Martin painted a mural on the 12th of August. The only person that painted a mural in a cold month is,2019-12-30,cold,0,Steve
Ian,2019-02-10,Michael,2019-01-22,Blake,2019-07-21,"['Ian', 'Michael', 'Blake']",Ian had a picnic on the 10th of February. Michael had a picnic on the 22nd of January. Blake had a picnic on the 21st of July. The only person that had a picnic in a warm month is,2019-07-21,warm,1,Blake
Leon,2019-08-22,Frank,2019-03-23,Hope,2019-06-08,"['Leon', 'Frank', 'Hope']",Leon moved to a new city on the 22nd of August. Frank moved to a new city on the 23rd of March. Hope moved to a new city on the 8th of June. The only person that moved to a new city in a cold month is,2019-03-23,cold,0,Frank
Fred,2019-03-24,Ian,2019-07-01,Jerry,2019-02-04,"['Fred', 'Ian', 'Jerry']",Fred sent a package on the 24th of March. Ian sent a package on the 1st of July. Jerry sent a package on the 4th of February. The only person that sent a package in a warm month is,2019-07-01,warm,1,Ian
